date,value
2000/1/1,1920
2000/2/1,1976
2000/3/1,2190
2000/4/1,2132
2000/5/1,2357
2000/6/1,2413
2000/7/1,2463
2000/8/1,2422
2000/9/1,2358
2000/10/1,2352
2000/11/1,2549
2000/12/1,3375
2001/1/1,2109
2001/2/1,2052
2001/3/1,2327
2001/4/1,2231
2001/5/1,2470
2001/6/1,2526
2001/7/1,2483
2001/8/1,2518
2001/9/1,2316
2001/10/1,2409
2001/11/1,2638
2001/12/1,3542
2002/1/1,2114
2002/2/1,2109
2002/3/1,2366
2002/4/1,2300
2002/5/1,2569
2002/6/1,2486
2002/7/1,2568
2002/8/1,2595
2002/9/1,2297
2002/10/1,2401
2002/11/1,2601
2002/12/1,3488
2003/1/1,2121
2003/2/1,2046
2003/3/1,2273
2003/4/1,2333
2003/5/1,2576
2003/6/1,2433
2003/7/1,2611
2003/8/1,2660
2003/9/1,2461
2003/10/1,2641
2003/11/1,2660
2003/12/1,3654
2004/1/1,2293
2004/2/1,2219
2004/3/1,2398
2004/4/1,2553
2004/5/1,2685
2004/6/1,2643
2004/7/1,2867
2004/8/1,2622
2004/9/1,2618
2004/10/1,2727
2004/11/1,2763
2004/12/1,3801
2005/1/1,2219
2005/2/1,2316
2005/3/1,2530
2005/4/1,2640
2005/5/1,2709
2005/6/1,2783
2005/7/1,2924
2005/8/1,2791
2005/9/1,2784
2005/10/1,2801
2005/11/1,2933
2005/12/1,4137
2006/1/1,2424
2006/2/1,2519
2006/3/1,2753
2006/4/1,2791
2006/5/1,3017
2006/6/1,3055
2006/7/1,3117
2006/8/1,3024
2006/9/1,2997
2006/10/1,2913
2006/11/1,3137
2006/12/1,4269
2007/1/1,2569
2007/2/1,2603
2007/3/1,3005
2007/4/1,2867
2007/5/1,3262
2007/6/1,3364
2007/7/1,3322
2007/8/1,3292
2007/9/1,3057
2007/10/1,3087
2007/11/1,3297
2007/12/1,4403
2008/1/1,2675
2008/2/1,2806
2008/3/1,2989
2008/4/1,2997
2008/5/1,3420
2008/6/1,3279
2008/7/1,3517
2008/8/1,3472
2008/9/1,3151
2008/10/1,3351
2008/11/1,3386
2008/12/1,4461
2009/1/1,2913
2009/2/1,2781
2009/3/1,3024
2009/4/1,3130
2009/5/1,3467
2009/6/1,3307
2009/7/1,3555
2009/8/1,3399
2009/9/1,3263
2009/10/1,3425
2009/11/1,3356
2009/12/1,4625
2010/1/1,2878
2010/2/1,2916
2010/3/1,3214
2010/4/1,3310
2010/5/1,3467
2010/6/1,3438
2010/7/1,3657
2010/8/1,3454
2010/9/1,3365
2010/10/1,3497
2010/11/1,3524
2010/12/1,4681
2011/1/1,2888
2011/2/1,2984
2011/3/1,3249
2011/4/1,3363
2011/5/1,3471
2011/6/1,3551
2011/7/1,3740
2011/8/1,3576
2011/9/1,3517
2011/10/1,3515
2011/11/1,3646
2011/12/1,4892
2012/1/1,2995
2012/2/1,3202
2012/3/1,3550
2012/4/1,3409
2012/5/1,3786
2012/6/1,3816
2012/7/1,3733
2012/8/1,3752
2012/9/1,3503
2012/10/1,3626
2012/11/1,3869
2012/12/1,5124
2013/1/1,3155
2013/2/1,3227
2013/3/1,3624
2013/4/1,3488
2013/5/1,3947
2013/6/1,3809
2013/7/1,4034
2013/8/1,4100
2013/9/1,3631
2013/10/1,3787
2013/11/1,4059
2013/12/1,5215
2014/1/1,3381
2014/2/1,3310
2014/3/1,3652
2014/4/1,3702
2014/5/1,4165
2014/6/1,4036
2014/7/1,4242
2014/8/1,4219
2014/9/1,3814
2014/10/1,4090
2014/11/1,4103
2014/12/1,5572
2015/1/1,3572
2015/2/1,3482
2015/3/1,3857
2015/4/1,3867
2015/5/1,4335
2015/6/1,4217
2015/7/1,4532
2015/8/1,4260
2015/9/1,4073
2015/10/1,4273
2015/11/1,4266
2015/12/1,5816
2016/1/1,3607
2016/2/1,3769
2016/3/1,4045
2016/4/1,4108
2016/5/1,4396
2016/6/1,4468
2016/7/1,4745
2016/8/1,4475
2016/9/1,4431
2016/10/1,4436
2016/11/1,4676
2016/12/1,6057
2017/1/1,3740
2017/2/1,3774
2017/3/1,4266
2017/4/1,4273
2017/5/1,4673
2017/6/1,4703
2017/7/1,4828
2017/8/1,4677
2017/9/1,4568
2017/10/1,4567
2017/11/1,4879
2017/12/1,6284
2018/1/1,3991
2018/2/1,3992
2018/3/1,4670
2018/4/1,4362
2018/5/1,4950
2018/6/1,4990
2018/7/1,5011
2018/8/1,4945
2018/9/1,4650
2018/10/1,4789
2018/11/1,5176
2018/12/1,6442
2019/1/1,4134
2019/2/1,4116
2019/3/1,4673
2019/4/1,4580
2019/5/1,5109
2019/6/1,5011
2019/7/1,5245
2019/8/1,5270
2019/9/1,4680
2019/10/1,4913
2019/11/1,5312
2019/12/1,6630
2020/1/1,4388
2020/2/1,4533
2020/3/1,5521
2020/4/1,5211
2020/5/1,6263
2020/6/1,6078
2020/7/1,6423
2020/8/1,6116
2020/9/1,5854
